Frame Number,Timecode,adaptive_ratio (w=2),content_val,delta_edges,delta_hue,delta_lum,delta_sat
2,00:00:00.033,None,0.014521846064814813,0.048421223958333336,0.036919487847222224,0.0033094618055555555,0.0033365885416666665
3,00:00:00.067,1.4420921544209218,0.005235460069444445,0.0,0.014594184027777778,0.0010850694444444445,2.712673611111111e-05
4,00:00:00.100,0.0,0.0,0.0,0.0,0.0,0.0
5,00:00:00.133,0.0,0.0,0.0,0.0,0.0,0.0
6,00:00:00.167,3.7775647171620337,0.017813223379629633,0.0,0.049126519097222224,0.0032552083333333335,0.0010579427083333333
7,00:00:00.200,4.235532994923857,0.01886212384259259,0.0,0.053900824652777776,0.001953125,0.000732421875
8,00:00:00.233,0.0,0.0,0.0,0.0,0.0,0.0
9,00:00:00.267,0.0,0.0,0.0,0.0,0.0,0.0
10,00:00:00.300,6.218642117376296,0.012216073495370372,0.0,0.034233940972222224,0.0018174913194444445,0.0005967881944444445
11,00:00:00.333,2.5729089563286447,0.007857711226851851,0.0,0.019694010416666668,0.00244140625,0.001437717013888889
12,00:00:00.367,0.0,0.0,0.0,0.0,0.0,0.0
13,00:00:00.400,0.0,0.0,0.0,0.0,0.0,0.0
14,00:00:00.433,2.2286689419795223,0.005904586226851852,0.0,0.014729817708333334,0.0021158854166666665,0.0008680555555555555
15,00:00:00.467,7.179173047473201,0.010597511574074075,0.0,0.029351128472222224,0.001681857638888889,0.0007595486111111111
16,00:00:00.500,0.0,0.0,0.0,0.0,0.0,0.0
17,00:00:00.533,0.0,0.0,0.0,0.0,0.0,0.0
18,00:00:00.567,2.6474064346684174,0.009114583333333332,0.0,0.024495442708333332,0.0020345052083333335,0.0008138020833333334
19,00:00:00.600,1.2313467855466915,0.005931712962962962,0.0,0.014811197916666666,0.0023057725694444445,0.0006781684027777778
20,00:00:00.633,1.493540051679587,0.007839626736111112,0.0,0.019694010416666668,0.002387152777777778,0.001437717013888889
21,00:00:00.667,0.43967367969085447,0.0023148148148148147,0.0,0.005045572916666667,0.0010308159722222222,0.0008680555555555555
22,00:00:00.700,1.0530451866404713,0.0036349826388888886,0.0,0.009711371527777778,0.0010308159722222222,0.00016276041666666666
23,00:00:00.733,2.4559270516717326,0.0036530671296296294,0.0,0.009711371527777778,0.0010850694444444445,0.00016276041666666666
24,00:00:00.767,0.0,0.0,0.0,0.0,0.0,0.0
25,00:00:00.800,0.0,0.0,0.0,0.0,0.0,0.0
26,00:00:00.833,0.0,1.808449074074074e-05,0.0,0.0,5.425347222222222e-05,0.0
27,00:00:00.867,0.0,1.808449074074074e-05,0.0,0.0,5.425347222222222e-05,0.0
28,00:00:00.900,0.0,0.0,0.0,0.0,0.0,0.0
29,00:00:00.933,0.0,0.0,0.0,0.0,0.0,0.0
30,00:00:00.967,0.0,0.0,0.0,0.0,0.0,0.0
31,00:00:01.000,0.0,0.0,0.0,0.0,0.0,0.0
32,00:00:01.033,0.0,0.0,0.0,0.0,0.0,0.0
33,00:00:01.067,0.0,0.0,0.0,0.0,0.0,0.0
34,00:00:01.100,0.0,0.0,0.0,0.0,0.0,0.0
35,00:00:01.133,0.0,0.0,0.0,0.0,0.0,0.0
36,00:00:01.167,0.0,0.0,0.0,0.0,0.0,0.0
37,00:00:01.200,0.0,0.0,0.0,0.0,0.0,0.0
38,00:00:01.233,0.0,0.0,0.0,0.0,0.0,0.0
39,00:00:01.267,0.0,0.0,0.0,0.0,0.0,0.0
40,00:00:01.300,0.0,0.0,0.0,0.0,0.0,0.0
41,00:00:01.333,0.0,0.0,0.0,0.0,0.0,0.0
42,00:00:01.367,0.0,0.0,0.0,0.0,0.0,0.0
43,00:00:01.400,0.0,0.0,0.0,0.0,0.0,0.0
44,00:00:01.433,0.0,0.0,0.0,0.0,0.0,0.0
45,00:00:01.467,0.0,0.0,0.0,0.0,0.0,0.0
46,00:00:01.500,0.0,0.0,0.0,0.0,0.0,0.0
47,00:00:01.533,0.0,0.0,0.0,0.0,0.0,0.0
48,00:00:01.567,0.0,0.0,0.0,0.0,0.0,0.0
49,00:00:01.600,0.0,0.0,0.0,0.0,0.0,0.0
50,00:00:01.633,0.0,0.0,0.0,0.0,0.0,0.0
51,00:00:01.667,0.0,0.0,0.0,0.0,0.0,0.0
52,00:00:01.700,0.0,0.0,0.0,0.0,0.0,0.0
53,00:00:01.733,0.0,0.0,0.0,0.0,0.0,0.0
54,00:00:01.767,0.0,0.0,0.0,0.0,0.0,0.0
55,00:00:01.800,0.0,0.0,0.0,0.0,0.0,0.0
